ADDR	lat	lng	precise	confidence	level
上海奉贤贝港花苑23号401	30.912948109582153	121.44937184238904	1	80	地产小区
上海奉贤贵州省息峰县鹿窝乡杨寨村小岩口组	30.915122452605868	121.56064167963345	0	16	区县
上海奉贤金汇镇中学路中街新村五栋402室	30.991792065320233	121.50901316857069	1	80	地产小区
上海奉贤金钱公路3469号	30.92040096132543	121.52019660505104	1	80	道路
上海奉贤金钱公路3469号8号楼126室	30.92040096132543	121.52019660505104	1	80	道路
上海奉贤金钱公路3488号	30.918589198337312	121.52002851771724	1	80	道路
上海奉贤金钱公路3488号3栋107室	30.918589198337312	121.52002851771724	1	80	道路
上海奉贤金钱公路3488号3栋219室	30.918589198337312	121.52002851771724	1	80	道路
上海奉贤金钱公路3488号4栋205室	30.918589198337312	121.52002851771724	1	80	道路
上海奉贤金钱公路3488号4栋211室	30.918589198337312	121.52002851771724	1	80	道路
上海奉贤金钱公路3488号4栋215室	30.918589198337312	121.52002851771724	1	80	道路
